Shine,"Prefer to receive your affirmations via uplifting SMS messages? Try Shine. When you sign up on its website, Shine will send you one text each weekday. Shine claims that 93% of its users have reported noticeable improvements in their happiness each day.",Free and Paid Options,IOS/Android,,,,,,,,,,,,,,,,,,,,,,
Unique Daily Affirmations,"It’s as simple as one unique positive affirmation each day with this app, which you can either visit daily to see the affirmation, or you can set it up to send you push notifications. In addition, Unique Daily Affirmations has a nice feature in which you can record your own affirmations and upload your own photos to make it more “you.”",Free,IOS/Android,,,,,,,,,,,,,,,,,,,,,,
PTSD,,,,,,,,,,,,,,,,,,,,,,,,,
PTSD Coach,"Created by the VA’s National Center for Post-Traumatic Stress Disorder (PTSD), PTSD Coach offers everything from a self-assessment for PTSD, to opportunities to find support, positive self-talk, and anger management. What’s great about this app is that you can customize tools based on your own individual needs and preferences, and integrate your own contacts, photos, and music.",Free,IOS/Android,,,,,,,,,,,,,,,,,,,,,,
PTSD Hub,PTSD app with peer coping strategies to help with symptoms and providing resources. Offering an interactive community that allows those struggling with PTSD to share their coping strategies and to help manage the symptoms.,Free,IOS/Android,,,,,,,,,,,,,,,,,,,,,,
RELATIONSHIPS,,,,,,,,,,,,,,,,,,,,,,,,,
Love Nudge,"Love Nudge is a fun, habit-forming app that helps you intentionally express love in ways that are most meaningful to your partner. Designed for real-life connection, Love Nudge takes the concepts of Dr. Gary Chapman’s #1 New York Times best-seller The 5 Love Languages® to the next level. You and your loved one can learn each other’s love languages, exchange encouraging and playful nudges, set and track activity goals, and monitor the levels of each other’s love tanks for better communication and intimacy. It’s like having a personal assistant… for your relationship.
",Free,IOS/Android,,,,,,,,,,,,,,,,,,,,,,
SELF HARM,,,,,,,,,,,,,,,,,,,,,,,,,
Calm Harm ,"Calm Harm provides tasks to help resist or manage the urge to self-harm. Make it private by setting a password, and personalise the app. Track progress and notice change. Learn to ride the wave using these activities: Comfort, Distract, Express Yourself, Release, Random and Breathe. When riding the wave, the urge to self-harm will fade.",Free,IOS/Android,"Developed for teenage mental health charity stem4 by Dr Nihara Krause, Consultant Clinical Psychologist, using the basic principles of an evidence-based therapy called Dialectical Behavioural Therapy (DBT). ",,,,,,,,,,,,,,,,,,,,,
SUICIDE PREVENTION,,,,,,,,,,,,,,,,,,,,,,,,,
notOK,"notOK is a free app developed by a struggling teenager (and her teen brother) for teenagers. The app features a large, red button that can be activated to let close friends, family and their support network know help is needed. Users can add up to five trusted contacts as part of their support group so when they hit the digital panic button, a message along with their current GPS location is sent to their contacts. The message reads: “Hey, I’m not OK! Please call, text, or come find me.”",Free,IOS/Android,,,,,,,,,,,,,,,,,,,,,,
MY3,"MY3 is aimed at people who are depressed and suicidal, and trains users to recognize suicide warning signs in others. MY3 asks you to choose three close contacts that you feel comfortable reaching out to when you’re down and keeps you connected to this core network. This best part of this app is that it helps you create your own safety plan asking you to think through and list your own warning signs, coping strategies and support network, so that you can easily act when you recognize your warning signs.",Free,IOS/Android,,,,,,,,,,,,,,,,,,,,,,
SUPPORT,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar Disorder Connect,"Bipolar disorder can be frustrating, especially if you don’t have anyone close to you that can identify with your struggles. Bipolar Disorder Connect is a great app that connects people with bipolar disorder from around the world. This tool gives you access to a community of people living with the condition. The app also features tracking tools to help you monitor your moods and share those updates.",Free,IOS,,,,,,,,,,,,,,,,,,,,,,
HearMe,"Sometimes you just need a place to vent—and don’t always have the social support or space to do it. HearMe is there for those moments, connecting you instantly with an empathetic listener. ",Free,IOS/Android,,,,,,,,,,,,,,,,,,,,,,
Lyf,"If you’ve ever craved a more positive social media community, Lyf might be exactly what you’re looking for. It’s a self-care community filled with everyday people and mental health professionals alike, all ready to discuss mental wellness, swap stories, and provide support. You also have the option of talking directly with a therapist on the app, which you can pay for weekly or by the session.",Free,IOS/Android,,,,,,,,,,,,,,,,,,,,,,
Schizophrenia HealthStorylines,"Developed in partnership with the Schizophrenia and Related Disorders Alliance of America (SARDAA), the Schizophrenia HealthStorylines app makes it easier for those with schizophrenia to monitor their condition by keeping track of symptoms, medication, and moods. You can set medication and appointment reminders, record questions for your clinician, take note of symptoms, and connect with a support system.",Free,IOS/Android,,,,,,,,,,,,,,,,,,,,,,
Solace,"Solace matches you with a small text-based support ground based on an onboarding questionnaire. That way, you wind up chatting with people around your same age who are dealing with the same condition and severity of symptoms as you.",Free,IOS/Android,,,,,,,,,,,,,,,,,,,,,,
Stigma,"The journal component of Stigma is considered one of the best in a crowded field. The app’s word cloud technology recognizes which words you use the most when writing down your feelings allowing you to reflect on why these are your go-to emotions. We also love the app’s social network dimension, which allows users to connect with peers through messaging. You can share your journal too and get feedback if you’d like support from others.",Free,IOS,,,,,,,,,,,,,,,,,,,,,,
The Mighty,"World’s largest digital health community, covering a range from mental health to chronic illness, disability, rare disease, parenting, neurodiversity, caregiving and so much more. oin a Mighty group and connect with like-minded individuals about health, hobbies, interests and more, Post a thought or question any time you need advice, support or encouragement from others who get it, read stories written by people who have first-hand health experiences, check in daily with other members of The Mighty community and lots more.",Free,IOS/Android,,,,,,,,,,,,,,,,,,,,,,
UCSF PRIME,"Schizophrenia patients are prone to social isolation even when their condition is treated. The PRIME app, created by psychiatry professor Danielle Shlosser, connects people with schizophrenia to their peers through a social network style interface. It also lets users track “challenge goals,” things they’d like to accomplish or improve about themselves.",Free,IOS/Android,,,,,,,,,,,,,,,,,,,,,,
Wisdo,"This virtual support app allows you to join specific themed communities to discuss anything from coronavirus anxiety and loneliness to racism and LGBTQ+ issues. You can chat with people who’ve been through what you’re dealing with, swap tips, and offer support to others",$6/month or $40/year,IOS/Android,,,,,,,,,,,,,,,,,,,,,,
THERAPY,,,,,,,,,,,,,,,,,,,,,,,,,
BetterHelp,"Like Talkspace, BetterHelp is a mobile therapy app that allows you to connect to a therapist via video therapy, phone sessions, and live chat. Compared to Talkspace, you get more live video and phone sessions, but ultimately you’ll have to do some research to find which is right for you if you’re deciding between them.","Free 
Counselling therapy plans start at $40/week",IOS/Android,,,,,,,,,,,,,,,,,,,,,,
Pride Counseling,"Recent research indicates that LGBTQ+ individuals are at increased risk for mental illness. To address this, Pride Counseling offers one-on-one therapy and group webinars with licensed therapists that specialize in supporting queer people.",Free and Paid Options,IOS/Android,,,,,,,,,,,,,,,,,,,,,,
Talkspace,"Talkspace is a counseling and therapy app that connects users with a convenient, affordable, and confidential way to deal with anxiety, stress, depression, relationship issues, and chronic illness.
A free consultation is provided with a Matching Agent to identify the ideal therapist for your needs based on several factors. More than 1,000 licensed therapists are available, who specialize in anxiety, phobia, depression, domestic violence, PTSD, and more.
",Free / $49 per week,IOS/Android,,,,,,,,,,,,,,,,,,,,,,
Youper,"If traditional therapy is too expensive, Youper offers an AI-powered alternative that helps you work toward your specific mental health goals. The app gauges how you’re feeling each day, offering audio, visuals, and words of encouragement that’ll keep you on track. Some people even use it alongside therapy.",Free with in-app purchases,IOS,,,,,,,,,,,,,,,,,,,,,,
7 Cups,"If you are feeling lonely, sad, stressed, or worried, 7 Cups could be the perfect app for you. It provides online therapy and emotional support for anxiety and depression. There are more than 160,000 trained listeners and licensed therapists who are available to anonymously speak with 24/7. Speak your mind and confide in listeners without the fear of being judged. These listeners can be searched for based on their experience or their specialties, such as bullying, panic attacks, eating disorders, relationship breakups, and many more. Affordable therapy with an online therapist can commence one-to-one in a confidential setting.
",Free,IOS/Android,,,,,,,,,,,,,,,,,,,,,,
WELLNESS,,,,,,,,,,,,,,,,,,,,,,,,,
Lifesum,"Unlike the other apps featured in this list, Lifesum is a broader resource for all things healthy living. The app allows you to set personal goals, from eating healthier, to building more muscle and getting in more steps each day. You can also enter your own personal data and let Lifesum generate a “Life Score” to get a personalized roadmap to better health. With reminders to drink water and eat regularly throughout the day, Lifesum is a great option for anyone trying to live healthier, but for people with eating disorders, this app can be used to help you redefine how you think about healthy body image.",Free,IOS/Android,,,,,,,,,,,,,,,,,,,,,,
YogiBirth,"YogiBirth was created by a midwife to aid expectant mothers through yoga, meditation, and helpful tips. Through the app, you can manage aches and pains, stay balanced, and start connecting with your baby. The education tab answers all the questions you may have been afraid to ask about being a new mom—nothing’s off-limits.",,,,,,,,,,,,,,,,,,,,,,,,
12 STEPS,,,,,,,,,,,,,,,,,,,,,,,,,
AA Big Book,"Features the full text of the Big Book, prayers, personal stories, podcasts, meeting finder, and more.",Free,IOS/Android,,,,,,,,,,,,,,,,,,,,,,
AA Toolkit,"App features aa sobriety calculator which keeps a track of the number of days you are sober for. Also featuring a comprehensive inventory tool which allows you to create your step 4 and your step 10 aa inventories. Offers Journal tool, gratitude list tool, built-in instant messaging for peer support, prayers and more.","Android - Free
IOS - Prices starting at $0.99",IOS/Android,,,,,,,,,,,,,,,,,,,,,,
Al-anon Speaker,"Allows you to listen to recovery speakers, workshops and audio books from Al-Anon whenever and wherever using simply a wifi or cellular network connection. Includes 100+ speakers speaking at Al Anon conventions worldwide and AA family support group speakers This app is perfect for when you cant get to a meeting, take recovery with you wherever you go!","$3.99/month
$6.99/3 months",IOS/Android,,,,,,,,,,,,,,,,,,,,,,
CA Speakers,"Listen to recovery speakers, workshops and audio books from Cocaine Anonymous (a 12 step program) whenever and wherever using simply a wifi or cellular network connection. App includes: 80+ speakers speaking at Cocaine Anonymous conventions worldwide, the Big Book of Alcoholics Anonymous Audio Book, the 12 Steps and 12 Traditions of Alcoholics Anonymous Audio Book.
This app is perfect for when you cant get to a meeting, take recovery with you wherever you go!
","Android - Free
IOS - $0.99",IOS/Android,,,,,,,,,,,,,,,,,,,,,,
NA Speakers,"Stop Drug Addiction Program. Over 200 NA speaker tapes from NA meetings around the world covering topics such as NA steps & traditions, daily readings & reflections, how to live clean, NA stories of recovery, Al-Anon speaker tapes, Alcoholics Anonymous speaker tapes, 12 Step workshops and sober meditations and prayers.","Android - Free
IOS - Free and paid options",IOS/Android,,,,,,,,,,,,,,,,,,,,,,
My Toolkit,"Sex Addicts Anonymous Toolkit featuring journaling, abstinence date calculator, gratitude list, spot check inventories and more.",Free,Android,,,,,,,,,,,,,,,,,,,,,,
Pocket Rehab,"Uses a multi-layered support system to help people struggling with, or directly/indirectly affected by addiction. Pocket Rehab offers 24/7 real-time recovery support and relapse prevention for its members for free through an online community of volunteer providers. Available for individuals, providers and recovery coaches.",Free,IOS/Android,,,,,,,,,,,,,,,,,,,,,,
Tenth Step Nightly Inventory ,"Reflect on ten yes or no questions at the end of your day to help you complete your daily inventory. Inventories are saved and stored by date. Optional tool within the app lets you “track” how well you’re walking on the 12th Step beam over time, depending on how you answer each days questions.",Free,IOS/Android,,,,,,,,,,,,,,,,,,,,,,
Quit That,"Quit That! is a completely free app that helps users beat their habits or addictions. Whether you’re looking to stop drinking alcohol, quit smoking, or stop taking drugs, it’s the perfect recovery tool to track and monitor your progress. Track as many vices as you want and find out how many minutes, hours, days, weeks, or years it’s been since you quit.",Free,IOS,,,,,,,,,,,,,,,,,,,,,,
Twenty-Four Hours a Day,"Based on the best-selling book of the same name, Twenty-Four Hours a Day offers 366 meditations from the book, making it easier for people in recovery from addiction to focus on sobriety wherever they are.",Free/ $5.99,IOS/Android,,,,,,,,,,,,,,,,,,,,,,
12 Steps AA Companion,"Includes 'The Big Book', prayers, promises, sobriety length calculations, notes with sharing, edit and add your own recovery contacts, contact support and lots more. No interenet connection needed.","Android - $1.99
IOS - $2.99",IOS/Android,,,,,,,,,,,,,,,,,,,,,,
12 Step Meditation ,"Designed from over 20 years of experience in recovery these key insights will enhance your daily experience in 12 step recovery. Expressed as ""Thought Of the Day"", the content consists of a either an affirmation, a prayer or special insight (wisdom) .The reader can then save his or her own favorites. New content is updated daily with more features on the way.",Free,Android,,,,,,,,,,,,,,,,,,,,,,
